sl,model,panel_manufacturer,rating,tech_type,Voc,Isc,Vmp,Imp,NOCT,T_Pmax,T_Voc,T_Isc,dimensions,weight,cell_count,price,efficiency,life,Remarks
1,WS-40/ 12,Waaree,40,POLYCRYSTALLINE,21.37,2.5,17.18,2.33,46,-0.3859,-0.2775,0.0051,485x675x35,4.8,36,880,12.22,25,ARUN  SERIES
2, WS-45/ 12,Waaree,45,POLYCRYSTALLINE,21.42,2.8,17.19,2.62,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,36,990,10.58,25,ARUN  SERIES
3, WS-50/ 12,Waaree,50,POLYCRYSTALLINE,21.47,3.11,17.21,2.91,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,36,1100,11.76,25,ARUN  SERIES
4, WS-50/ 24,Waaree,50,POLYCRYSTALLINE,43.6,1.53,35.15,1.43,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,72,1100,11.76,25,ARUN  SERIES
5, WS-55/ 12,Waaree,55,POLYCRYSTALLINE,21.52,3.41,17.24,3.2,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,36,1210,12.93,25,ARUN  SERIES
6, WS-60/ 12,Waaree,60,POLYCRYSTALLINE,21.57,3.71,17.26,3.48,46,-0.3859,-0.2775,0.0051,630x675x35,6,36,1320,14.11,25,ARUN  SERIES
7, WS-60/ 24,Waaree,60,POLYCRYSTALLINE,43.7,1.83,35.25,1.71,46,-0.3859,-0.2775,0.0051,630x675x35,6,72,1320,14.11,25,ARUN  SERIES
8, WS-65/ 12,Waaree,65,POLYCRYSTALLINE,21.62,4.01,17.29,3.76,46,-0.3859,-0.2775,0.0051,700x675x35,6,36,1430,13.01,25,ARUN  SERIES
9, WS-70/ 12,Waaree,70,POLYCRYSTALLINE,21.67,4.31,17.31,4.05,46,-0.3859,-0.2775,0.0051,830x675x35,6,36,1540,12.49,25,ARUN  SERIES
10, WS-74/ 12,Waaree,74,POLYCRYSTALLINE,21.71,4.54,17.33,4.28,46,-0.3859,-0.2775,0.0051,900x675x35,6.95,36,1628,12.18,25,ARUN  SERIES
11, WS-74/ 24,Waaree,74,POLYCRYSTALLINE,43.8,2.25,35.35,2.1,46,-0.3859,-0.2775,0.0051,900x675x35,7.95,72,1628,12.18,25,ARUN  SERIES
12, WS-75/ 12,Waaree,75,POLYCRYSTALLINE,21.72,4.6,17.34,4.33,46,-0.3859,-0.2775,0.0051,900x675x35,7.95,36,1650,12.35,25,ARUN  SERIES
13, WS-75/ 24,Waaree,75,POLYCRYSTALLINE,43.85,2.28,35.4,2.12,46,-0.3859,-0.2775,0.0051,900x675x35,7.95,72,1650,12.35,25,ARUN  SERIES
14, WS-80/ 12,Waaree,80,POLYCRYSTALLINE,21.77,4.9,17.36,4.61,46,-0.3859,-0.2775,0.0051,920x675x35,8.3,36,1760,13.17,25,ARUN  SERIES
15, WS-80/ 24,Waaree,80,POLYCRYSTALLINE,43.9,2.43,35.45,2.26,46,-0.3859,-0.2775,0.0051,920x675x35,8.3,72,1760,13.17,25,ARUN  SERIES
16, WS-85/ 12,Waaree,85,POLYCRYSTALLINE,21.82,5.19,17.39,4.89,46,-0.3859,-0.2775,0.0051,920x675x35,8.3,36,1870,13.69,25,ARUN  SERIES
17, WS-90/ 12,Waaree,90,POLYCRYSTALLINE,21.87,5.49,17.41,5.17,46,-0.3859,-0.2775,0.0051,920x675x35,9,36,1980,14.49,25,ARUN  SERIES
18, WS-90/ 24,Waaree,90,POLYCRYSTALLINE,43.95,2.73,35.5,2.54,46,-0.3859,-0.2775,0.0051,920x675x35,9,72,1980,14.49,25,ARUN  SERIES
19, WS-95/ 12,Waaree,95,POLYCRYSTALLINE,21.92,5.78,17.44,5.45,46,-0.3859,-0.2775,0.0051,1035x675x35,10.15,36,2090,13.6,25,ARUN  SERIES
20,WS-100 /12,Waaree,100,POLYCRYSTALLINE,21.97,6.07,17.46,5.73,46,-0.3859,-0.2775,0.0051,1035x675x35,10.15,36,2200,14.31,25,ARUN  SERIES
21, WS-100 /24,Waaree,100,POLYCRYSTALLINE,44,3.03,36.6,2.81,46,-0.3859,-0.2775,0.0051,1035x675x35,10.15,72,2200,14.31,25,ARUN  SERIES
22, WS-105 /12,Waaree,105,POLYCRYSTALLINE,22.02,6.36,17.49,6.01,46,-0.3859,-0.2775,0.0051,1150x675x35,10.15,36,2310,13.53,25,ARUN  SERIES
23, WS-110 /12,Waaree,110,POLYCRYSTALLINE,22.07,6.65,17.51,6.29,46,-0.3859,-0.2775,0.0051,1260x675x35,11.3,36,2420,12.93,25,ARUN  SERIES
24, WS-110 /24,Waaree,110,POLYCRYSTALLINE,44.1,3.33,35.65,3.09,46,-0.3859,-0.2775,0.0051,1260x675x35,11.3,72,2420,12.93,25,ARUN  SERIES
25, WS-115 /12,Waaree,115,POLYCRYSTALLINE,22.12,6.93,17.54,6.56,46,-0.3859,-0.2775,0.0051,1260x675x35,11.5,36,2530,13.52,25,ARUN  SERIES
26, WS-120 /12,Waaree,120,POLYCRYSTALLINE,22.17,7.22,17.56,6.84,46,-0.3859,-0.2775,0.0051,1260x675x35,13,36,2640,14.11,25,ARUN  SERIES
27, WS-125 /12,Waaree,125,POLYCRYSTALLINE,22.22,7.5,17.59,7.11,46,-0.3859,-0.2775,0.0051,1260x675x35,13,36,2750,14.7,25,ARUN  SERIES
28, WS-125 /24,Waaree,125,POLYCRYSTALLINE,44.15,3.78,35.73,3.5,46,-0.3859,-0.2775,0.0051,1490x675x35,13,72,2750,14.7,25,ARUN  SERIES
29, WS-130 /12,Waaree,130,POLYCRYSTALLINE,22.27,7.78,17.61,7.39,46,-0.3859,-0.2775,0.0051,1490x675x35,13,36,2860,12.93,25,ARUN  SERIES
30, WS-130 /24,Waaree,130,POLYCRYSTALLINE,44.1,3.93,35.75,3.64,46,-0.3859,-0.2775,0.0051,1490x675x35,13,72,2860,12.93,25,ARUN  SERIES
31, WS-135 /12,Waaree,135,POLYCRYSTALLINE,22.32,8.06,17.64,7.66,46,-0.3859,-0.2775,0.0051,1490x675x35,13,36,2970,13.42,25,ARUN  SERIES
32, WS-140 /12,Waaree,140,POLYCRYSTALLINE,22.37,8.34,17.66,7.93,46,-0.3859,-0.2775,0.0051,1490x675x35,13,36,3080,13.92,25,ARUN  SERIES
33, WS-140 /24,Waaree,140,POLYCRYSTALLINE,44.2,4.22,35.8,3.92,46,-0.3859,-0.2775,0.0051,1490x675x35,13,72,3080,13.92,25,ARUN  SERIES
34, WS-145 /12,Waaree,145,POLYCRYSTALLINE,23.37,8.35,18.25,7.95,46,-0.3859,-0.2775,0.0051,1490x675x35,13,36,3190,14.42,25,ARUN  SERIES
35, WS-150 /12,Waaree,150,POLYCRYSTALLINE,23.42,8.62,18.32,8.2,46,-0.3859,-0.2775,0.0051,1490x675x35,13,36,3300,14.91,25,ARUN  SERIES
36, WS-150 /24,Waaree,150,POLYCRYSTALLINE,44.3,4.51,36.1,4.16,46,-0.3859,-0.2775,0.0051,1490x675x35,13,72,3300,14.91,25,ARUN  SERIES
37, WS-155 /24,Waaree,155,POLYCRYSTALLINE,44.4,4.6,36.2,4.3,46,-0.3859,-0.2775,0.0051,1195x990x35,14.45,72,3410,13.1,25,ARUN  SERIES
38, WS-160 /24,Waaree,160,POLYCRYSTALLINE,44.5,4.8,36.3,4.42,46,-0.3859,-0.2775,0.0051,1195x990x35,14.45,72,3520,13.52,25,ARUN  SERIES
39, WS-165 /24,Waaree,165,POLYCRYSTALLINE,44.6,4.92,36.4,4.54,46,-0.3859,-0.2775,0.0051,1195x990x35,14.45,72,3630,13.95,25,ARUN  SERIES
40,WS-170 /12,Waaree,170,POLYCRYSTALLINE,23.7,9.3,19,8.95,46,-0.3859,-0.2775,0.0051,1175x990x35,13,36,3740,14.64,25,ARUN  SERIES
41,WS-175 /24,Waaree,175,POLYCRYSTALLINE,44.8,5.06,36.7,4.64,46,-0.3859,-0.2775,0.0051,1175x990x35,13,72,3850,14.64,25,ARUN  SERIES
42, WS-180 /24,Waaree,180,POLYCRYSTALLINE,45.05,5.3,37.1,4.86,46,-0.3859,-0.2775,0.0051,1175x990x35,13,72,3960,15.47,25,ARUN  SERIES
43, WS-185 /24,Waaree,185,POLYCRYSTALLINE,45.1,5.42,37.3,4.97,46,-0.3859,-0.2775,0.0051,1175x990x35,13,72,4070,15.9,25,ARUN  SERIES
44, WS-190 /24,Waaree,190,POLYCRYSTALLINE,45.25,5.55,37.5,5.08,46,-0.3859,-0.2775,0.0051,1175x990x35,13,72,4180,16.33,25,ARUN  SERIES
45, WS-195 /24,Waaree,195,POLYCRYSTALLINE,45.3,5.7,37.7,5.19,46,-0.3859,-0.2775,0.0051,1175x990x35,13,72,4290,16.76,25,ARUN  SERIES
46,WS-200,Waaree,200,POLYCRYSTALLINE,33,8.08,27,7.41,46,-0.3859,-0.2775,0.0051,1490x990x35,17.5,54,4400,13.56,25,ARUN  SERIES
47,WS-200 /12,Waaree,200,POLYCRYSTALLINE,22.97,11.61,17.97,11.13,46,-0.3859,-0.2775,0.0051,1360x990x35,17.5,72,4400,14.85,25,ARUN  SERIES
48,WS-200 /24,Waaree,200,POLYCRYSTALLINE,43.5,6.12,35.05,5.71,46,-0.3859,-0.2775,0.0051,1360x990x35,17.5,72,4400,14.85,25,ARUN  SERIES
49, WS-205,Waaree,205,POLYCRYSTALLINE,33.1,8.25,27.1,7.57,46,-0.3859,-0.2775,0.0051,1490x990x35,17.5,54,4510,13.9,25,ARUN  SERIES
50,WS-210 /12,Waaree,210,POLYCRYSTALLINE,23.07,12.14,18.02,11.66,46,-0.3859,-0.2775,0.0051,1360x990x35,17.5,72,4620,15.6,25,ARUN  SERIES
51, WS-210 /24,Waaree,210,POLYCRYSTALLINE,43.6,6.42,35.15,5.98,46,-0.3859,-0.2775,0.0051,1360x990x35,17.5,72,4620,15.6,25,ARUN  SERIES
52, WS-215 ,Waaree,215,POLYCRYSTALLINE,33.3,8.61,27.3,7.88,46,-0.3859,-0.2775,0.0051,1490x990x35,17.5,54,4730,14.58,25,ARUN  SERIES
53,WS-220,Waaree,220,POLYCRYSTALLINE,33.4,8.78,27.4,8.03,46,-0.3859,-0.2775,0.0051,1490x990x35,17.5,54,4840,14.91,25,ARUN  SERIES
54, WS-220 /12,Waaree,220,POLYCRYSTALLINE,23.17,12.66,18.07,12.18,46,-0.3859,-0.2775,0.0051,1360x990x35,17.5,72,4840,16.34,25,ARUN  SERIES
55, WS-220 /24,Waaree,220,POLYCRYSTALLINE,43.7,6.71,35.25,6.25,46,-0.3859,-0.2775,0.0051,1360x990x35,17.5,72,4840,16.34,25,ARUN  SERIES
56, WS-225,Waaree,225,POLYCRYSTALLINE,33.5,8.99,27.5,8.2,46,-0.3859,-0.2775,0.0051,1490x990x35,17.5,54,4950,15.25,25,ARUN  SERIES
57, WS-230,Waaree,230,POLYCRYSTALLINE,33.6,9.13,27.6,8.34,46,-0.3859,-0.2775,0.0051,1490x990x35,17.5,54,5060,15.59,25,ARUN  SERIES
58,WS-235,Waaree,235,POLYCRYSTALLINE,33.7,9.3,27.7,8.49,46,-0.3859,-0.2775,0.0051,1490x990x35,17.5,54,5170,15.93,25,ARUN  SERIES
59,WS-250,Waaree,250,POLYCRYSTALLINE,37.1,8.9,31.15,8.05,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,5500,15.4,25,ADITYA SERIES
60,WS-255,Waaree,255,POLYCRYSTALLINE,37.5,9,31.3,8.15,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,5610,15.71,25,ADITYA SERIES
61,WS-260,Waaree,260,POLYCRYSTALLINE,37.8,9.1,31.35,8.3,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,5720,16.01,25,ADITYA SERIES
62,WS-265,Waaree,265,POLYCRYSTALLINE,37.9,9.15,31.45,8.45,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,5830,16.32,25,ADITYA SERIES
63,WS-270,Waaree,270,POLYCRYSTALLINE,38,9.2,31.6,8.55,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,5940,16.63,25,ADITYA SERIES
64,WS-275,Waaree,275,POLYCRYSTALLINE,38.15,9.25,31.8,8.65,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,6050,16.94,25,ADITYA SERIES
65,WS-280,Waaree,280,POLYCRYSTALLINE,38.3,9.35,32,8.75,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,6160,17.25,25,ADITYA SERIES
66,WS-285,Waaree,285,POLYCRYSTALLINE,38.6,9.45,32.25,8.85,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,6270,17.55,25,ADITYA SERIES
67,WS-290,Waaree,290,POLYCRYSTALLINE,38.9,9.55,32.45,8.95,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,6380,17.86,25,ADITYA SERIES
68,WS-295,Waaree,295,POLYCRYSTALLINE,39.2,9.65,32.6,9.05,46,-0.2775,-0.3859,0.051,1640x990x40,18.5,60,6490,18.17,25,ADITYA SERIES
69,WS-320,Waaree,320,POLYCRYSTALLINE,46.5,9.15,37.65,8.5,46,-0.2775,-0.3859,0.051,1960x990x40,22.5,72,7040,16.49,25,ADITYA SERIES
70,WS-325,Waaree,325,POLYCRYSTALLINE,46.6,9.2,37.8,8.6,46,-0.2775,-0.3859,0.051,1960x990x40,22.5,72,7150,16.75,25,ADITYA SERIES
71,WS-330,Waaree,330,POLYCRYSTALLINE,46.7,9.25,37.95,8.7,46,-0.2775,-0.3859,0.051,1960x990x40,22.5,72,7260,17.01,25,ADITYA SERIES
72,WS-335,Waaree,335,POLYCRYSTALLINE,46.8,9.3,38.1,8.8,46,-0.2775,-0.3859,0.051,1960x990x40,22.5,72,7370,17.26,25,ADITYA SERIES
73,WS-340,Waaree,340,POLYCRYSTALLINE,46.9,9.35,38.25,8.9,46,-0.2775,-0.3859,0.051,1960x990x40,22.5,72,7480,17.52,25,ADITYA SERIES
74,WS-345,Waaree,345,POLYCRYSTALLINE,47,9.4,38.55,8.95,46,-0.2775,-0.3859,0.051,1960x990x40,22.5,72,7590,17.78,25,ADITYA SERIES
75,WS-350,Waaree,350,POLYCRYSTALLINE,47.1,9.45,38.9,9,46,-0.2775,-0.3859,0.051,1960x990x40,22.5,72,7700,18.04,25,ADITYA SERIES
76,WSD-325,Waaree,325,POLYCRYSTALLINE CUT CELL,46.23,9.18,37.42,8.69,43,-0.2775,-0.3859,0.051,2007x1003.5x40,23.5,144,8125,16.14,25,ADITYA SERIES
77,WSD-330,Waaree,330,POLYCRYSTALLINE CUT CELL,46.54,9.24,37.59,8.78,43,-0.2775,-0.3859,0.051,2007x1003.5x40,24.5,144,8250,16.39,25,ADITYA SERIES
78,WSD-335,Waaree,335,POLYCRYSTALLINE CUT CELL,46.85,9.3,37.8,8.87,43,-0.2775,-0.3859,0.051,2007x1003.5x40,25.5,144,8375,16.63,25,ADITYA SERIES
79,WSD-340,Waaree,340,POLYCRYSTALLINE CUT CELL,47.16,9.36,37.98,8.96,43,-0.2775,-0.3859,0.051,2007x1003.5x40,26.5,144,8500,16.88,25,ADITYA SERIES
80,WSD-345,Waaree,345,POLYCRYSTALLINE CUT CELL,47.47,9.42,38.17,9.05,43,-0.2775,-0.3859,0.051,2007x1003.5x40,27.5,144,8625,17.13,25,ADITYA SERIES
81,WSM-335-AC,Waaree,335,MONOCRYSTALLINE AC,45.8,9.5,36.7,9.13,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,12000,17.27,25,ARKA SERIES; Peak output power = 258 W; Rated output current=1.09 A; Nominal voltage=230VAC;Nominal frequency=50Hz; Power factor >0.95; 
82,WSMB-300,Waaree,300,MONOCRYSTALLINE PERC,39.7,9.7,32.7,9.2,46,-0.3739,-0.2627,0.039,1640x990x40,18.5,60,9600,18.48,25,ARKA SERIES
83,WSM-295,Waaree,295,MONOCRYSTALLINE PERC,39.6,9.55,32.6,9.05,46,-0.3739,-0.2627,0.039,1640x990x40,18.5,60,9440,18.17,25,ARKA SERIES
84,WSM-300,Waaree,300,MONOCRYSTALLINE PERC,39.7,9.7,32.7,9.2,46,-0.3739,-0.2627,0.039,1640x990x40,18.5,60,9600,18.48,25,ARKA SERIES
85,WSM-305,Waaree,305,MONOCRYSTALLINE PERC,39.8,9.8,32.8,9.3,46,-0.3739,-0.2627,0.039,1640x990x40,18.5,60,9760,18.79,25,ARKA SERIES
86,WSM-310,Waaree,310,MONOCRYSTALLINE PERC,39.9,9.9,32.9,9.43,46,-0.3739,-0.2627,0.039,1640x990x40,18.5,60,9920,19.09,25,ARKA SERIES
87,WSM-315,Waaree,315,MONOCRYSTALLINE PERC,40,10,33,9.55,46,-0.3739,-0.2627,0.039,1640x990x40,18.5,60,10080,19.4,25,ARKA SERIES
88,WSM-320,Waaree,320,MONOCRYSTALLINE PERC,40.1,10.1,33.1,9.67,46,-0.3739,-0.2627,0.039,1640x990x40,18.5,60,10240,19.71,25,ARKA SERIES
89,WSM-315,Waaree,315,MONOCRYSTALLINE PERC,40.38,9.9,32.9,9.58,46,-0.37,-0.27,0.05,1660x1003.5x40,19,60,10080,18.92,25,ARKA SERIES
90,WSM-320,Waaree,320,MONOCRYSTALLINE PERC,40.54,9.95,33.25,9.64,46,-0.37,-0.27,0.05,1660x1003.5x40,19,60,10240,19.24,25,ARKA SERIES
91,WSM-325,Waaree,325,MONOCRYSTALLINE PERC,40.71,10.03,33.42,9.73,46,-0.37,-0.27,0.05,1660x1003.5x40,19,60,10400,19.52,25,ARKA SERIES
92,WSM-330,Waaree,330,MONOCRYSTALLINE PERC,40.88,10.12,33.61,9.82,46,-0.37,-0.27,0.05,1660x1003.5x40,19,60,10560,19.81,25,ARKA SERIES
93,WSM-350,Waaree,350,MONOCRYSTALLINE PERC,38.5,9.1,47.35,9.6,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,11200,18.04,25,ARKA SERIES
94,WSM-355,Waaree,355,MONOCRYSTALLINE PERC,38.7,9.18,47.45,9.65,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,11360,18.3,25,ARKA SERIES
95,WSM-360,Waaree,360,MONOCRYSTALLINE PERC,38.9,9.26,47.65,9.7,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,11520,18.55,25,ARKA SERIES
96,WSM-365,Waaree,365,MONOCRYSTALLINE PERC,39.1,9.34,47.85,9.75,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,11680,18.81,25,ARKA SERIES
97,WSM-370,Waaree,370,MONOCRYSTALLINE PERC,39.3,9.42,48.05,9.8,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,11840,19.07,25,ARKA SERIES
98,WSM-375,Waaree,375,MONOCRYSTALLINE PERC,39.5,9.5,48.25,9.85,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,12000,19.33,25,ARKA SERIES
99,WSM-380,Waaree,380,MONOCRYSTALLINE PERC,39.7,9.58,48.45,9.9,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,12160,19.58,25,ARKA SERIES
100,WSM-385,Waaree,385,MONOCRYSTALLINE PERC,39.9,9.65,48.65,9.95,46,-0.3739,-0.2627,0.039,1960x990x40,22.5,72,12320,19.84,25,ARKA SERIES
101,WSM-380,Waaree,380,MONOCRYSTALLINE PERC,48.45,9.9,39.7,9.58,46,-0.37,-0.27,0.05,1985x1003.5x40,22.5,72,12160,19.08,25,ARKA SERIES
102,WSM-385,Waaree,385,MONOCRYSTALLINE PERC,48.65,9.95,39.9,9.65,46,-0.37,-0.27,0.05,1985x1003.5x40,22.5,72,12320,19.33,25,ARKA SERIES
103,WSM-390,Waaree,390,MONOCRYSTALLINE PERC,48.85,10.03,40.1,9.73,46,-0.37,-0.27,0.05,1985x1003.5x40,22.5,72,12480,19.58,25,ARKA SERIES
104,WSM-395,Waaree,395,MONOCRYSTALLINE PERC,49.05,10.12,40.28,9.81,46,-0.37,-0.27,0.05,1985x1003.5x40,22.5,72,12640,19.83,25,ARKA SERIES
105,WSMD-365,Waaree,365,MONOCRYSTALLINE PERC,47.66,9.72,39.1,9.34,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,11680,18.37,25,ARKA SERIES
106,WSMD-370,Waaree,370,MONOCRYSTALLINE PERC,47.99,9.79,39.39,9.39,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,11840,18.62,25,ARKA SERIES
107,WSMD-375,Waaree,375,MONOCRYSTALLINE PERC,48.32,9.86,39.68,9.46,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,12000,18.87,25,ARKA SERIES
108,WSMD-380,Waaree,380,MONOCRYSTALLINE PERC,48.65,9.93,39.97,9.51,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,12160,19.12,25,ARKA SERIES
